Classe_PV	Age_PV	Cadre	Non_Cadre	Diplome	Age_Moy	Anc_Moy	Surface_	Type_concep	Nbr_reclam	Age_RPV	Anc_RPV	Anc_RPV_PV	Qualt_client
3	29	14	10	10	41,71	5,54	12,75	A	16	38	21	20	0,37
3	21	6	14	6	34,2	4,7	11,8	A	7	41	28	9	0,53
5	13	3	5	3	31,13	6,63	12,25	A	7	46	66	24	0,49
3	18	5	7	4	36,58	5,33	16,42	A	12	38	28	9	0,69
4	17	2	5	2	44,86	4,14	27,86	A	2	47	7	7	0,44
4	16	3	3	2	40,33	5	40	A	8	37	66	7	0,4
3	15	8	7	5	37,67	4,47	26,67	N	20	44	32	28	0,45
4	15	5	3	3	39,5	6,5	10,63	A	18	38	28	28	0,41
5	14	2	2	1	40,25	4,75	32,5	A	1	42	51	28	0,47
4	9	6	4	5	40	3,8	12	C	5	43	35	28	0,32
4	23	5	6	2	39	5,36	18	C	15	56	60	9	0,21
5	20	3	2	0	44,4	6,8	26,6	A	5	47	58	28	0,21
4	16	4	6	3	41,4	6,9	20,8	A	3	39	28	9	0,47
3	13	7	7	3	39,36	7	22,14	C	48	47	109	21	0,63
4	8	3	4	2	41	5,14	32,14	C	17	37	51	28	0,56
3	14	5	6	4	38,09	3,73	29,09	N	19	46	60	21	1,02
2	13	7	7	6	38,21	5,43	12,29	C	16	40	147	28	0,69
4	29	3	6	1	41,67	5	22,22	A	46	49	32	19	0,35
4	14	4	5	3	39,56	6,33	27,78	A	6	40	34	28	0,31
2	30	7	14	3	43,38	5,86	16,33	N	69	47	214	28	0,36
4	30	6	5	3	44,27	4,09	25,64	N	37	47	9	9	0,2
4	30	2	6	2	42	5	13,75	N	8	41	9	9	3,13
2	24	6	10	4	35,56	4,94	13,31	N	70	41	9	9	0,55
3	21	10	6	4	42,88	6,25	12,88	A	32	55	222	28	0,33
4	20	8	1	3	41,44	5,22	25,22	A	17	41	140	9	0,16
4	18	4	4	3	42	7,38	21,25	N	3	42	130	28	0,44
4	19	2	5	1	44,43	6,86	26,43	A	10	51	249	28	0,49
3	17	4	7	2	34,82	5,36	17,27	C	10	36	32	28	0,57
5	14	1	4	1	42	5,4	16	A	1	40	35	28	0,21
5	21	1	3	1	42,25	7,5	76,25	A	4	36	30	28	0,34
3	19	10	7	6	38,47	3,76	16,47	N	4	41	21	21	0,15
3	18	11	7	6	37,72	5	18,56	N	102	36	72	28	0,51
3	18	5	14	6	34,79	5,58	13,16	C	22	39	7	7	0,31
4	16	7	6	6	40,85	2,46	10,77	A	21	44	65	21	0,48
3	15	7	7	5	35,5	4	17,86	A	45	36	32	28	0,4
5	15	4	4	0	44,13	4,38	22,63	A	11	42	22	9	0,26
4	14	3	6	2	38	8	9,22	A	15	39	32	28	0,18
3	13	5	4	3	38,67	3,44	23,33	A	3	50	32	28	0,6
1	30	19	11	10	41,53	5,97	13,63	A	61	49	43	28	0,67
3	30	9	7	3	43,38	7,56	12,81	A	45	36	73	28	0,32
2	27	15	11	7	42,85	6,27	25,92	N	51	42	35	28	0,54
3	26	4	6	4	41	5,2	17,5	A	37	41	35	28	0,42
2	24	12	7	7	40,05	5,68	13,21	N	61	52	28	21	0,55
2	21	10	6	5	37,75	7	14,5	A	37	35	32	28	0,91
4	19	5	5	2	43,8	4,5	19	N	15	54	180	37	0,33
4	21	1	4	1	44,6	5,2	35	A	8	43	46	18	0,29
4	20	6	4	4	39,4	5,4	9,1	A	13	44	27	27	0,36
5	20	2	1	0	44	6,67	40	A	5	53	96	58	0,25
3	24	9	6	5	43,73	7,8	12,33	C	18	36	21	21	0,33
2	18	10	9	6	40,95	5,11	13,58	N	34	44	20	20	1,12
5	18	2	5	1	37,57	7,29	13,71	A	3	52	137	48	0,22
4	18	4	5	1	44,22	8,22	14,44	A	9	42	72	48	0,26
5	18	1	5	1	34,83	5,33	18,33	A	9	45	72	48	0,27
4	18	5	7	2	42,08	6,42	16,5	A	30	54	183	48	0,3
4	18	6	4	4	39,1	4,4	12	A	11	33	19	19	0,45
4	15	2	4	2	40,5	4,83	25,83	A	6	36	44	9	0,69
1	15	16	17	12	37,76	6,36	12,73	N	21	46	32	28	1,49
1	30	14	17	8	42,74	6,87	12,9	C	40	51	21	20	0,42
2	30	19	10	12	41	7,21	20,93	N	50	40	51	21	0,31
3	29	6	8	3	43,29	5,79	14,14	C	20	47	36	28	0,95
3	30	6	7	4	38,46	5,85	18,62	A	10	35	19	19	0,99
2	30	8	10	7	35	4,22	13	C	12	44	58	28	1,02
3	26	5	6	5	40,64	4,55	15,91	N	26	46	87	21	0,33
2	26	10	10	8	38,9	5,45	23	C	41	52	21	20	0,6
3	25	13	9	9	38	5,45	19,41	N	31	43	111	28	0,51
3	22	7	9	4	41,81	7,31	23,44	C	15	59	238	28	0,82
4	22	5	3	1	44	6,5	30	N	15	59	240	28	0,44
1	30	12	15	8	41,3	7,11	19,37	N	19	53	84	28	1,56
3	21	7	7	7	40,93	5,43	12,93	C	21	39	32	28	0,3
3	21	8	9	7	37,65	4,76	13,76	C	20	50	34	34	0,74
3	20	4	9	4	34,85	5	26,38	N	20	50	66	45	0,42
4	20	5	5	3	39,4	4,7	15,4	A	33	42	30	28	0,36
3	20	7	5	3	44,5	7,08	19,08	C	17	52	71	21	0,25
3	20	9	13	7	33,55	4,14	9	A	19	41	30	28	0,36
4	30	5	8	4	40	3,69	19,23	A	20	52	240	28	0,25
4	18	4	6	3	40,4	6,4	21	A	1	43	71	28	0,46
4	24	7	6	2	41,69	7,62	16,54	N	35	46	69	28	0,14
4	8	5	5	3	40,1	6,2	14,8	C	17	38	44	9	0,34
3	8	4	7	4	39,36	5	14,82	C	27	43	21	21	0,44
5	7	3	3	3	36,17	4	21,67	A	0	31	27	27	0,62
5	7	1	4	1	38	3	30	A	6	42	36	28	0,55
5	7	2	2	1	46,5	2,5	34	C	1	54	35	28	0,41
4	6	4	5	4	39,33	5,11	12,44	N	17	33	22	22	0,32
1	6	19	13	11	38	4,66	14,22	N	63	40	32	28	0,66
4	5	1	3	1	40,75	3,5	41,25	N	3	32	28	9	0,67
4	5	2	8	4	32,8	3,5	17,5	N	5	51	24	24	0,21
4	5	4	4	2	38,25	3,5	28	N	14	50	93	28	0,42
5	5	4	4	2	41,88	4	10,13	N	21	47	137	21	0,38
5	5	2	6	3	42,13	4,5	29,38	N	7	50	120	36	0,72
3	4	4	6	5	40,6	6,4	20,3	N	6	46	28	9	1,51
3	5	5	6	2	33,55	4,36	44,18	N	12	37	21	21	0,48
4	5	4	4	4	35,25	4,38	35,63	N	12	46	35	28	1,59
5	4	5	1	1	47,17	5,33	40,83	N	19	49	48	48	0,25
5	4	2	3	2	37,6	3	40	N	0	49	7	7	1,3
4	4	1	7	2	41,25	4,75	28,38	N	4	37	21	21	2,82
4	3	3	2	2	38,4	3	34	N	1	47	7	7	0,37
5	2	2	2	1	39	3	67	N	9	41	140	28	0,34
4	3	3	6	4	30,11	2,78	26,67	N	3	41	28	9	1,11
5	1	2	2	2	36,75	2,5	70	N	1	39	7	7	0,53
5	1	4	4	2	40,75	2,63	13,5	N	1	47	12	12	0,97
5	1	2	3	2	35,4	2	70	N	1	36	22	22	1,09
5	1	2	2	2	37,5	2	88,75	N	0	34	22	22	0,76
